# Generated by: get_storage_usage.py
# Date generated: 2025-11-20 11:40:09
# Command: ./get_storage_usage.py --subscription us-prod400thor-prod --start-time 2025-11-03 00:00 --end-time 2025-11-07 23:59
# Subscription: 357baeec-2e3e-4bb3-9acc-4d82e2bf2dd0
# Time range: 2025-11-03T00:00:00 to 2025-11-07T23:59:00
#
Timestamp,StorageAccount,ResourceGroup,UsedCapacityGB,BlobCapacityGB,FileCapacityGB,TableCapacityGB,QueueCapacityGB
2025-11-07T15:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,221407.91,,,,
2025-11-07T16:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,221407.92,,,,
2025-11-07T17:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,221407.92,,,,
2025-11-07T18:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220467.47,,,,
2025-11-07T19:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220467.47,,,,
2025-11-07T20:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220467.52,,,,
2025-11-07T21:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220467.52,,,,
2025-11-07T22:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220467.52,,,,
2025-11-07T23:00:00Z,hpccqqcxgdata1,app-prod400thor-prod-eastus,220467.45,,,,
2025-11-03T00:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.93,,,,
2025-11-03T01:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.93,,,,
2025-11-03T02:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.93,,,,
2025-11-03T03:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.93,,,,
2025-11-03T04:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.93,,,,
2025-11-03T05:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.93,,,,
2025-11-03T06:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.93,,,,
2025-11-03T07:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.90,,,,
2025-11-03T08:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222449.90,,,,
